Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0x019e7e7a7efaec0e547677a0ea088e29c730f49720cf947c63a9bb765a554896,Swap Tokens For ...,19377565,3/6/2024 17:16,0xACBCB272...a16989b2e ,Uniswap V2: Router 2 ,0,0.02277711
0xb78bd0f32a83afc6e2b3d5dfa0948e0b026461dffeba2e497401910df2deee20,Approve,19377565,3/6/2024 17:16,0xEcC7360F...80ba2B6Ad ,0xa74a05B1...ACd266B94 ,0,0.00576526
0x5b6f48fa7a07cf2642d51fec4501cdc2daa5e18dbdefe098ed9b44dfe33ef851,Swap Exact Token...,19377565,3/6/2024 17:16,0x8b23e99B...42f35f008 ,Maestro: Router 2 ,0,0.01969743
0xb36867216e748161fbbb1460d8d28e5d8919ce7e92d4d435ea5a107772f6da4f,Swap Exact ETH F...,19377565,3/6/2024 17:16,0x0607E006...34311c203 ,Maestro: Router 2 ,0.2,0.02037235
0x614ce79ed526b9ccd77be23caec8facfdf6bde6fff0c5dfb88ded625812a54ab,Execute,19377565,3/6/2024 17:16,0xf32B2bc6...3C863097e ,Uniswap: Universal Router ,0,0.01605356
0x522b486b894565e887dd89db34d64acde3bbcc4a06bcd17378d0a0aa83e0a5c0,Execute,19377565,3/6/2024 17:16,0x54826be6...22Bd287fe ,Uniswap: Universal Router ,0.115,0.01625856
0x535391d3fc46d01bdd6d2770ae2451d74e97475bb9bba6686f3eee1f026bf713,Approve,19377565,3/6/2024 17:16,0xbFFBa2dB...7Caa3ca67 ,0x051e8091...D2A978Aec ,0,0.00592412
0x26ba784d544bb3502ad0cea455f1671d3f380ff92670ab685103d303dd6d6fa7,Approve,19377565,3/6/2024 17:16,0x01e79670...477A504dA ,0x051e8091...D2A978Aec ,0,0.00592412
0x04cc2f9f1cb380e58114eb9188d549f2e8585992194ed363f97cbbab7b712871,0x75713a08,19377565,3/6/2024 17:16,0xA01be92C...24E8eaB13 ,Banana Gun: Router 2 ,0,0.01781979
0x684dc32b1ca5fd0889ae48cfa2c92a19db83567231f231ad4897040b20c369d4,Swap Exact Token...,19377565,3/6/2024 17:16,0xA857F079...57b12b0e6 ,Maestro: Router 2 ,0,0.03228695
0xbf67bcc181d6d772018940693246b57f1c2197790eb536bd2f1f74a364f7d6fc,Swap Exact Token...,19377565,3/6/2024 17:16,0xe5f9bd69...29Be21CEa ,Maestro: Router 2 ,0,0.03274321
0xc6a4922484be1ea7f9145e01e6f4e4d6123fe6e1e190fcb2b5063dcfc7f949d1,0xbc4a02e4,19377565,3/6/2024 17:16,0xaF250A2C...a7922d7Bc ,0x77d5f038...C5879031b ,0,0.02068983
0xa6ba63f13cf8c5b42892707e66b9bbdf8e772c8cbea31eb09e6ad79688657494,Approve,19377565,3/6/2024 17:16,0x5e7911D5...51B52af07 ,0x051e8091...D2A978Aec ,0,0.00638937
