Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Dead End,Thriller,Sagittaire Films,France,English,2003,"
					
					83 mins",3.13,"18,251 ratings",42 fans,"24,474 members","9,215 lists","5,137 members"
Junkyard Dog,Romance,Insolence Productions,France,French,2023,"
					
					93 mins",3.64,"23,319 ratings",91 fans,"27,372 members","4,591 lists","7,742 members"
Man on a Ledge,Thriller,Summit Entertainment,USA,English,2012,"
					
					102 mins",2.83,"29,950 ratings",14 fans,"52,016 members","4,748 lists","4,315 members"
Fame,Drama,Metro-Goldwyn-Mayer,USA,English,1980,"
					
					134 mins",3.4,"15,990 ratings",101 fans,"35,121 members","10,269 lists","5,314 members"
Puppet Master,Science Fiction,Full Moon Entertainment,USA,English,1989,"
					
					83 mins",2.71,"19,383 ratings",37 fans,"30,423 members","11,623 lists","5,371 members"
The Master of Disguise,Comedy,Columbia Pictures,USA,English,2002,"
					
					80 mins",1.82,"25,802 ratings",164 fans,"52,974 members","6,885 lists","4,856 members"
The Prowler,Thriller,Graduation,USA,English,1981,"
					
					89 mins",3.01,"16,949 ratings",22 fans,"22,528 members","11,508 lists","4,982 members"
The River,Drama,Oriental International Films,France,English,1951,"
					
					99 mins",3.8,"8,957 ratings",56 fans,"14,042 members","14,154 lists","3,510 members"
How High,Comedy,Universal Pictures,USA,English,2001,"
					
					93 mins",2.94,"26,095 ratings",207 fans,"44,751 members","5,628 lists","7,569 members"
Out 1,Drama,Les Films du Losange,France,French,1971,"
					
					743 mins",4.06,"3,762 ratings",139 fans,"6,117 members","11,376 lists","2,174 members"
Premonition,Drama,TriStar Pictures,USA,English,2007,"
					
					96 mins",2.62,"27,184 ratings",32 fans,"48,202 members","5,267 lists","4,247 members"
Masters of the Universe,Thriller,Pressman Film,USA,English,1987,"
					
					106 mins",2.5,"23,187 ratings",51 fans,"41,253 members","9,126 lists","5,390 members"
Timbuktu,War,Les films du Worso,France,French,2014,"
					
					96 mins",3.75,"13,962 ratings",52 fans,"20,563 members","10,887 lists","3,934 members"
